City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Canutama,BR,2022-06-04 22:53:55,-6.5339,-64.3831,73.4,96,91,1.5
223,Leshukonskoye,RU,2022-06-04 22:53:55,64.8989,45.7622,50.65,85,14,3.36
224,Jumla,NP,2022-06-04 22:53:56,29.2747,82.1838,53.6,46,100,5.03
225,Rize,TR,2022-06-04 22:53:56,40.9044,40.8949,53.73,58,7,6.8
226,Mikhaylovka,RU,2022-06-04 22:53:56,50.06,43.2379,62.78,93,3,7.63
227,Esperance,AU,2022-06-04 22:54:57,-33.8667,121.9,55.54,72,99,18.95
228,Kruisfontein,ZA,2022-06-04 22:54:57,-34.0033,24.7314,57.88,87,100,5.53
229,Mende,FR,2022-06-04 22:54:58,44.6667,3.5,53.74,94,76,4.16
230,Teguise,ES,2022-06-04 22:54:58,29.0605,-13.564,66.42,73,40,16.11
231,Kenai,US,2022-06-04 22:54:58,60.5544,-151.2583,77.02,51,55,7.87
232,Ribeira Brava,PT,2022-06-04 22:54:59,32.65,-17.0667,66.83,72,11,4.83
233,Bonavista,CA,2022-06-04 22:54:59,48.6499,-53.1147,40.41,93,100,20.87
234,Haiger,DE,2022-06-04 22:55:00,50.75,8.2167,65.3,74,77,11.5
235,San Luis,AR,2022-06-04 22:55:00,-33.295,-66.3356,47.68,57,10,6.82
236,Vieste,IT,2022-06-04 22:55:01,41.8825,16.175,76.35,59,21,4.47
237,Camopi,GF,2022-06-04 22:55:01,3.1655,-52.3158,72.21,98,100,2.19
238,Venice,US,2022-06-04 22:55:01,27.0998,-82.4543,84.22,73,75,17.27
239,Byron Bay,AU,2022-06-04 22:55:02,-28.65,153.6167,58.95,68,97,2.3
240,Melfort,CA,2022-06-04 22:55:02,52.8667,-104.6177,66.33,18,3,4.61
241,Sayyan,YE,2022-06-04 22:55:02,15.1718,44.3244,60.39,34,45,4.32
242,Sobolevo,RU,2022-06-04 22:55:03,54.4299,31.8996,50.88,95,100,5.99
243,Quatre Cocos,MU,2022-06-04 22:55:03,-20.2078,57.7625,71.71,74,87,18.45
244,Tokmak,UA,2022-06-04 22:55:03,47.2514,35.7058,63.48,88,67,7.74
245,Pinyug,RU,2022-06-04 22:55:04,60.251,47.7842,47.7,97,6,3.83
246,Tigil,RU,2022-06-04 22:55:04,57.8,158.6667,50.09,60,100,4.47
247,Minas De Barroteran,MX,2022-06-04 22:55:05,27.6333,-101.2833,99.46,20,32,8.77
248,Marawi,PH,2022-06-04 22:55:05,7.9986,124.2928,72.61,89,100,2.26
249,Zhigalovo,RU,2022-06-04 22:55:05,54.8097,105.1578,53.74,55,85,3.11
250,Nongan,CN,2022-06-04 22:55:06,44.382,125.1685,59.04,93,100,14.32
251,Ahipara,NZ,2022-06-04 22:55:06,-35.1667,173.1667,62.37,66,99,11.18
